# Rime user dictionary
#@/db_name	flypy_flypy
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	16891
#@/user_id	lakuhana
bu[ad gj[vw 	不敢	c=2 d=3.52111e-15 t=16891
bu[ad gl[xw 	不光	c=2 d=6.94279e-17 t=16891
bu[ad go[zc 	不过	c=10 d=2.60187e-14 t=16891
bu[ad gr[bt ui[al 	不关事	c=1 d=0.142987 t=16891
bu[ad gs[cb yz[uo 	不共有	c=1 d=1.83849e-17 t=16891
bu[ad gw[sk 	不给	c=2 d=3.33108e-31 t=16891
bu[ad gw[sk wo[pd 	不给我	c=1 d=4.25125e-26 t=16891
bu[ad gz[bx 	不够	c=4 d=1.65727e-09 t=16891
bu[ad hc[nz 	不好	c=3 d=3.46987e-19 t=16891
bu[ad hc[nz yi[lx si[tx 	不好意思	c=2 d=1.09284e-15 t=16891
bu[ad hr[fd 	不换	c=2 d=7.16255e-15 t=16891
bu[ad hv[kk 	不回	c=2 d=1.74653e-21 t=16891
bu[ad hv[kk ld[an 	不回来	c=2 d=1.14475e-21 t=16891
bu[ad hv[rs 	不会	c=21 d=0.0881988 t=16891
bu[ad hv[rs ui[OR 	不会是	c=1 d=3.47648e-12 t=16891
bu[ad hv[rs ye[vv 	不会也	c=1 d=9.76473e-15 t=16891
bu[ad hx[gd sr[VC 	不划算	c=1 d=3.18332e-05 t=16891
bu[ad ia[yg 	不差	c=1 d=2.2186e-22 t=16891
bu[ad id[fi 	不拆	c=2 d=3.19863e-14 t=16891
bu[ad ij[lp ug[pf 	不产生	c=1 d=7.80792e-31 t=16891
bu[ad iu[[ ld[an 	不出来	c=2 d=0.000518277 t=16891
bu[ad iy[st 	不纯	c=2 d=4.93946e-13 t=16891
bu[ad jb[zj 	不进	c=1 d=2.08578e-31 t=16891
bu[ad jq[WY 	不就	c=1 d=1.08646e-05 t=16891
bu[ad jq[[ hc[nz 	不就好	c=1 d=7.51094e-16 t=16891
bu[ad jq[pn 	不久	c=1 d=1.99026e-09 t=16891
bu[ad jx[lk 	不加	c=1 d=3.51441e-22 t=16891
bu[ad jy[td yy[bd 	不均匀	c=2 d=6.30257e-32 t=16891
bu[ad kd[ac 	不开	c=3 d=0.102495 t=16891
bu[ad kd[ac mf[dv 	不开门	c=1 d=0.112478 t=16891
bu[ad ke[dk ng[sb 	不可能	c=1 d=1.00153e-18 t=16891
bu[ad ke[dk yi[vr 	不可以	c=3 d=6.75654e-06 t=16891
bu[ad ld[ur 	不赖	c=1 d=2.16234e-14 t=16891
bu[ad ln[vl 	不了	c=7 d=2.47059e-07 t=16891
bu[ad lw[tx 	不累	c=1 d=1.9498e-32 t=16891
bu[ad mj[dl yi[lx 	不满意	c=1 d=6.06615e-32 t=16891
bu[ad nd[ec 	不耐	c=0 d=1.24303e-31 t=16891
bu[ad nd[ec fh[fw 	不耐放	c=1 d=1.24926e-30 t=16891
bu[ad ng[sb 	不能	c=18 d=0.892677 t=16891
bu[ad pc[zs qu[ts 	不跑去	c=1 d=4.52736e-31 t=16891
bu[ad pd[ff iu[eh 	不排除	c=1 d=8.92276e-13 t=16891
bu[ad qi[tj 	不起	c=2 d=0.268477 t=16891
bu[ad qi[tj zo[rv ys[kl 	不起作用	c=2 d=4.86239e-18 t=16891
bu[ad qk[do bu[ad iu[mr 	不清不楚	c=1 d=0.000614317 t=16891
bu[ad qu[ey 	不取	c=3 d=3.75044e-15 t=16891
bu[ad rf[yr 	不认	c=1 d=2.33035e-12 t=16891
bu[ad rh[yu 	不让	c=3 d=3.6953e-24 t=16891
bu[ad rj[ph 	不然	c=10 d=2.40975e-05 t=16891
bu[ad sr[vc 	不算	c=2 d=5.29377e-18 t=16891
bu[ad td[dd 	不太	c=2 d=1.95019e-05 t=16891
bu[ad tj[yh 	不谈	c=1 d=1.42371e-09 t=16891
bu[ad ts[kk 	不同	c=2 d=3.82099e-06 t=16891
bu[ad ts[kk yi[lx 	不同意	c=1 d=2.90934e-05 t=16891
bu[ad tu[kt bu[ad kk[xg 	不吐不快	c=1 d=0.025223 t=16891
bu[ad uc[xp 	不少	c=1 d=2.01683e-18 t=16891
bu[ad ug[pf xn[ww 	不生效	c=1 d=1.63455e-16 t=16891
bu[ad ui[OR wo[PD 	不是我	c=0 d=7.8947e-15 t=16891
bu[ad ui[OR wo[PD uo[ye 	不是我说	c=1 d=7.93426e-14 t=16891
bu[ad ui[or 	不是	c=71 d=1.31975 t=16891
bu[ad uo[ye 	不说	c=1 d=0.000104638 t=16891
bu[ad uu[uy yu[al 	不属于	c=1 d=3.01963e-31 t=16891
bu[ad uz[py 	不受	c=1 d=2.70626e-31 t=16891
bu[ad uz[py la[fl 	不受拉	c=1 d=2.3517e-31 t=16891
bu[ad uz[py li[vp 	不受力	c=1 d=1.53831e-08 t=16891
bu[ad uz[py li[wl 	不受理	c=1 d=1.53063e-08 t=16891
bu[ad uz[py xm[eg vi[pd 	不受限制	c=1 d=3.44073e-08 t=16891
bu[ad vg[av ih[xj 	不正常	c=1 d=1.17307e-25 t=16891
bu[ad vi[uk 	不知	c=1 d=6.78788e-31 t=16891
bu[ad vi[uk dc[zz 	不知道	c=26 d=1.32026 t=16891
bu[ad wf[hx dk[br 	不稳定	c=1 d=3.55215e-30 t=16891
bu[ad xb[rk 	不信	c=1 d=0.000156102 t=16891
bu[ad xi[vd gr[xr 	不习惯	c=1 d=0.189191 t=16891
bu[ad xk[ii 	不行	c=6 d=0.33378 t=16891
bu[ad xl[mx 	不想	c=4 d=2.46212e-12 t=16891
bu[ad xl[mx wj[we 	不想玩	c=1 d=2.82383e-07 t=16891
bu[ad xl[mx yc[xn 	不想要	c=1 d=3.72728e-08 t=16891
bu[ad xl[rn wo[PD 	不像我	c=1 d=0.000120363 t=16891
bu[ad xm[yr mu[cx 	不羡慕	c=1 d=1.35239e-22 t=16891
bu[ad xt[xz 	不学	c=1 d=2.39342e-32 t=16891
bu[ad xu[ye yc[xn 	不需要	c=5 d=0.00133343 t=16891
bu[ad yb[gl dc[sc 	不引导	c=1 d=7.16069e-13 t=16891
bu[ad yc[xn 	不要	c=8 d=0.752014 t=16891
bu[ad yc[xn lm[oa 	不要脸	c=1 d=9.24216e-15 t=16891
bu[ad yc[xn mi[zm lm[wx ge[dk 	不要迷恋哥	c=1 d=3.21532e-05 t=16891
bu[ad yi[aa 	不一	c=2 d=3.05528e-22 t=16891
bu[ad yi[aa dk[br 	不一定	c=3 d=5.20964e-06 t=16891
bu[ad yi[aa yh[my 	不一样	c=6 d=7.54345e-08 t=16891
bu[ad yk[ga gd[yr 	不应该	c=1 d=4.06142e-18 t=16891
bu[ad yk[op xl[kk 	不影响	c=2 d=4.79885e-21 t=16891
bu[ad ys[kl 	不用	c=19 d=0.193554 t=16891
bu[ad zo[rw 	不做	c=2 d=1.46e-11 t=16891
bu[le ff[bd 	部分	c=3 d=0.00667097 t=16891
bu[le ff[rd 	部份	c=-4 d=2.6079e-08 t=16891
bu[le jm[rn 	部件	c=12 d=6.53554e-16 t=16891
bu[le uu[so 	部署	c=1 d=1.45143e-30 t=16891
bu[pb dk[al 	补丁	c=1 d=5.98417e-19 t=16891
bu[pb hv[kk ld[an 	补回来	c=1 d=0.460704 t=16891
bu[pb is[we 	补充	c=2 d=0.000223357 t=16891
bu[pb le[VL 	补了	c=1 d=0.470011 t=16891
bu[pb yi[aa bu[pb 	补一补	c=2 d=0.310367 t=16891
bu[uj bu[uj 	布布	c=1 d=5.44942e-06 t=16891
bu[uj vi[sq 	布置	c=1 d=6.85611e-31 t=16891
bu[vp 	步	c=1 d=3.75107e-24 t=16891
bu[vp vz[mn 	步骤	c=1 d=1.19718e-29 t=16891
bw[kr 	呗	c=6 d=0.0208987 t=16891
bw[lb 	北	c=1 d=2.38642e-27 t=16891
bw[lb jk[wx 	北京	c=1 d=1.04656e-06 t=16891
bw[lo 	背	c=1 d=2.37453e-27 t=16891
bw[lo ve[yo 	背着	c=1 d=1.63399e-12 t=16891
bw[py 	被	c=14 d=2.73863e-11 t=16891
bw[py dc[dm 	被盗	c=1 d=2.68703e-11 t=16891
bw[py fa[vd xm[we 	被发现	c=1 d=7.06368e-29 t=16891
bw[py hr[fd 	被换	c=0 d=6.81261e-16 t=16891
bw[py hr[fd le[vl 	被换了	c=1 d=6.84676e-15 t=16891
bw[py la[fl hw[lh 	被拉黑	c=1 d=4.20322e-10 t=16891
bw[py po[uy jp[dn 	被破解	c=1 d=1.31649e-29 t=16891
bw[py ta[RY fa[vd xm[we 	被他发现	c=1 d=2.32355e-07 t=16891
bw[py wo[PD 	被我	c=1 d=1.67883e-07 t=16891
bw[wt ff[rd 	备份	c=3 d=2.29049e-19 t=16891
bw[wt kc[lv 	备考	c=2 d=0.000809203 t=16891
bw[wt vu[dv 	备注	c=1 d=9.04194e-22 t=16891
ca[fx 	擦	c=3 d=5.58366e-14 t=16891
ca[fx bm[zl 	擦边	c=2 d=2.82528e-13 t=16891
ca[fx bu[ad gj[au jk[dl 	擦不干净	c=1 d=2.35378e-12 t=16891
ca[fx le[[ 	擦了	c=1 d=4.23035e-15 t=16891
ca[fx le[[ uf[pp zi[va 	擦了身子	c=1 d=3.79536e-15 t=16891
ca[fx uf[pp 	擦身	c=1 d=1.6019e-14 t=16891
cc[al 	艹	c=1 d=2.54193e-05 t=16891
cc[cu li[la 	草里	c=1 d=0.0020396 t=16891
cc[fm 	操	c=1 d=1.38927e-15 t=16891
cc[fm zo[rv 	操作	c=4 d=2.96096e-06 t=16891
cd[ap 	才	c=21 d=0.00100969 t=16891
cd[ap dv[yc 	才对	c=1 d=1.40614e-10 t=16891
cd[ap fa[vd xm[we 	才发现	c=1 d=1.18486e-25 t=16891
cd[ap hc[nz 	才好	c=1 d=3.25484e-31 t=16891
cd[ap hv[rs 	才会	c=1 d=1.82585e-24 t=16891
cd[ap mw[dy yz[uo 	才没有	c=1 d=9.34775e-31 t=16891
cd[ap ng[sb 	才能	c=3 d=6.39496e-06 t=16891
cd[ap si[db 	才死	c=1 d=1.49335e-12 t=16891
cd[ap ui[or 	才是	c=2 d=0.666977 t=16891
cd[ap xk[ii 	才行	c=2 d=9.40292e-12 t=16891
cd[mc 	材	c=1 d=3.33903e-08 t=16891
cd[mc ln[mu 	材料	c=17 d=4.10154e-16 t=16891
cd[pm ys[kl 	采用	c=5 d=0.00492284 t=16891
cd[pp se[db 	彩色	c=2 d=9.37563e-26 t=16891
cd[qo cd[qo 	猜猜	c=1 d=2.13305e-30 t=16891
cd[qo ce[dd 	猜测	c=1 d=4.74235e-18 t=16891
cd[qo dc[ad 	猜到	c=1 d=1.09395e-27 t=16891
ce[dd 	测	c=0 d=4.11704e-32 t=16891
ce[dd ll[ol 	测量	c=2 d=3.32984e-05 t=16891
ce[dd ui[yg 	测试	c=2 d=8.86679e-31 t=16891
ce[dd ui[yg dc[ad 	测试到	c=1 d=7.65331e-31 t=16891
ce[dd xx[ab ld[an 	测下来	c=1 d=4.1377e-31 t=16891
ce[rd 	侧	c=1 d=0.00702988 t=16891
ce[rd li[wa 	侧立	c=1 d=0.0713613 t=16891
ce[rd mm[aa 	侧面	c=1 d=0.0115047 t=16891
ce[rd pk[au xm[sj 	侧平线	c=1 d=0.0706512 t=16891
ce[vn lt[tk 	策略	c=1 d=3.53083e-18 t=16891
